open_time,open,high,low,close,volume,taker_buy_vol
2025-10-01 00:00:00,0.545,0.546,0.537,0.538,849660.9,329038.3
2025-10-01 00:15:00,0.539,0.541,0.532,0.534,1011937.8,442415.1
2025-10-01 00:30:00,0.533,0.536,0.533,0.533,533629.6,291843.6
2025-10-01 00:45:00,0.534,0.538,0.532,0.538,374037.9,197586.9
2025-10-01 01:00:00,0.537,0.54,0.537,0.538,458424.2,216261.19999999998
2025-10-01 01:15:00,0.537,0.539,0.535,0.537,382991.0,202644.4
2025-10-01 01:30:00,0.538,0.541,0.536,0.54,269449.1,158730.1
2025-10-01 01:45:00,0.541,0.543,0.54,0.542,492435.0,260314.1
2025-10-01 02:00:00,0.542,0.543,0.54,0.54,100802.3,57534.2
2025-10-01 02:15:00,0.54,0.543,0.539,0.541,307991.3,172515.7
2025-10-01 02:30:00,0.54,0.54,0.538,0.538,193232.1,59857.8
2025-10-01 02:45:00,0.538,0.538,0.535,0.537,283333.6,131451.6
2025-10-01 03:00:00,0.536,0.538,0.535,0.536,370570.5,165404.6
2025-10-01 03:15:00,0.536,0.536,0.532,0.533,202702.0,78528.9
2025-10-01 03:30:00,0.532,0.535,0.526,0.527,561851.7999999999,244788.7
2025-10-01 03:45:00,0.527,0.529,0.525,0.526,550352.5,218783.0
2025-10-01 04:00:00,0.526,0.531,0.526,0.527,552778.0,233019.7
2025-10-01 04:15:00,0.526,0.53,0.526,0.528,509977.9,283599.7
2025-10-01 04:30:00,0.528,0.531,0.527,0.528,431015.2,269812.2
2025-10-01 04:45:00,0.528,0.529,0.523,0.524,416120.2,181182.30000000002
2025-10-01 05:00:00,0.524,0.53,0.524,0.527,524445.9,238479.9
2025-10-01 05:15:00,0.528,0.53,0.526,0.528,493094.5,225282.0
2025-10-01 05:30:00,0.528,0.531,0.527,0.527,841533.4,220967.59999999998
2025-10-01 05:45:00,0.527,0.528,0.525,0.528,551601.2,188368.0
2025-10-01 06:00:00,0.527,0.532,0.527,0.531,418708.1,293150.9
2025-10-01 06:15:00,0.531,0.536,0.53,0.536,312168.9,193623.5
2025-10-01 06:30:00,0.536,0.536,0.533,0.534,156030.0,65597.9
2025-10-01 06:45:00,0.535,0.535,0.531,0.532,377231.39999999997,157669.1
2025-10-01 07:00:00,0.532,0.535,0.53,0.533,221740.9,116329.3
2025-10-01 07:15:00,0.533,0.535,0.532,0.532,117060.3,30753.4
2025-10-01 07:30:00,0.532,0.534,0.532,0.532,116838.79999999999,53067.6
2025-10-01 07:45:00,0.532,0.533,0.531,0.531,191337.0,92167.40000000001
2025-10-01 08:00:00,0.531,0.534,0.53,0.532,217395.4,81769.2
2025-10-01 08:15:00,0.532,0.535,0.531,0.535,197861.2,109000.90000000001
2025-10-01 08:30:00,0.534,0.553,0.534,0.552,1409983.1,931882.1000000001
2025-10-01 08:45:00,0.552,0.558,0.552,0.558,1194152.6,598068.0
2025-10-01 09:00:00,0.557,0.562,0.557,0.561,1223740.1,637556.2000000001
2025-10-01 09:15:00,0.56,0.563,0.558,0.562,547101.7,237474.6
2025-10-01 09:30:00,0.562,0.565,0.559,0.565,729191.9,415040.4
2025-10-01 09:45:00,0.565,0.566,0.563,0.565,440500.0,267820.5
2025-10-01 10:00:00,0.565,0.566,0.559,0.56,367413.1,139674.6
2025-10-01 10:15:00,0.559,0.567,0.559,0.566,377286.60000000003,214835.9
2025-10-01 10:30:00,0.566,0.567,0.561,0.566,589754.9,336062.0
2025-10-01 10:45:00,0.566,0.568,0.563,0.565,445754.7,199667.9
2025-10-01 11:00:00,0.565,0.567,0.563,0.566,300418.1,111985.09999999999
2025-10-01 11:15:00,0.566,0.569,0.565,0.566,243686.6,141018.5
2025-10-01 11:30:00,0.565,0.568,0.564,0.567,397363.0,203968.9
2025-10-01 11:45:00,0.566,0.569,0.565,0.568,295810.7,107521.3
2025-10-01 12:00:00,0.568,0.572,0.567,0.571,570359.9,263050.2
2025-10-01 12:15:00,0.572,0.576,0.57,0.574,462673.8,274174.4
2025-10-01 12:30:00,0.575,0.576,0.571,0.572,405521.7,196784.0
2025-10-01 12:45:00,0.573,0.575,0.569,0.571,391730.5,111123.1
2025-10-01 13:00:00,0.572,0.579,0.571,0.578,637422.7,359318.3
2025-10-01 13:15:00,0.579,0.579,0.574,0.577,523425.1,221997.7
2025-10-01 13:30:00,0.577,0.579,0.575,0.576,515120.4,273144.0
2025-10-01 13:45:00,0.577,0.578,0.575,0.577,324324.1,143308.9
2025-10-01 14:00:00,0.577,0.581,0.575,0.579,682076.6000000001,426921.0
2025-10-01 14:15:00,0.578,0.584,0.578,0.584,570117.3,293680.8
2025-10-01 14:30:00,0.584,0.587,0.58,0.586,557886.0,376528.0
2025-10-01 14:45:00,0.586,0.587,0.58,0.583,607682.8,232756.1
2025-10-01 15:00:00,0.584,0.586,0.581,0.585,616732.7999999999,411205.8
2025-10-01 15:15:00,0.585,0.587,0.584,0.584,286151.1,113871.8
2025-10-01 15:30:00,0.585,0.587,0.583,0.585,301644.9,175894.9
2025-10-01 15:45:00,0.585,0.588,0.58,0.588,875339.8999999999,392475.6
2025-10-01 16:00:00,0.588,0.591,0.585,0.587,836718.1,414211.4
2025-10-01 16:15:00,0.588,0.588,0.586,0.587,484768.1,184543.4
2025-10-01 16:30:00,0.587,0.588,0.586,0.587,254057.19999999998,119325.90000000001
2025-10-01 16:45:00,0.586,0.588,0.582,0.585,933746.2,412164.0
2025-10-01 17:00:00,0.584,0.587,0.584,0.586,531355.4,307597.2
2025-10-01 17:15:00,0.585,0.587,0.585,0.587,288348.39999999997,166691.4
2025-10-01 17:30:00,0.587,0.589,0.586,0.588,365853.39999999997,211448.8
2025-10-01 17:45:00,0.588,0.589,0.584,0.587,555607.4,235663.8
2025-10-01 18:00:00,0.587,0.59,0.586,0.589,272752.3,150341.4
2025-10-01 18:15:00,0.589,0.595,0.588,0.594,499634.5,334540.4
2025-10-01 18:30:00,0.593,0.595,0.592,0.594,435317.2,159821.3
2025-10-01 18:45:00,0.594,0.595,0.593,0.594,282675.5,114081.8
2025-10-01 19:00:00,0.594,0.595,0.592,0.595,214933.2,134709.1
2025-10-01 19:15:00,0.595,0.596,0.593,0.594,420777.1,259007.80000000002
2025-10-01 19:30:00,0.594,0.595,0.589,0.592,851051.5,335586.3
2025-10-01 19:45:00,0.592,0.595,0.591,0.592,426556.8,202842.2
2025-10-01 20:00:00,0.592,0.594,0.59,0.591,430309.6,196269.2
2025-10-01 20:15:00,0.591,0.592,0.587,0.589,310400.3,93032.7
2025-10-01 20:30:00,0.588,0.591,0.587,0.59,343303.0,185710.8
2025-10-01 20:45:00,0.59,0.593,0.589,0.592,232173.3,112455.79999999999
2025-10-01 21:00:00,0.592,0.593,0.59,0.591,123295.1,47408.7
2025-10-01 21:15:00,0.591,0.592,0.59,0.591,71040.8,48087.1
2025-10-01 21:30:00,0.59,0.591,0.588,0.589,145177.3,76472.3
2025-10-01 21:45:00,0.589,0.59,0.588,0.589,119322.9,41709.4
2025-10-01 22:00:00,0.589,0.592,0.588,0.59,86894.2,43870.2
2025-10-01 22:15:00,0.59,0.59,0.588,0.589,101727.0,42388.4
2025-10-01 22:30:00,0.589,0.589,0.586,0.588,111189.4,34920.0
2025-10-01 22:45:00,0.588,0.59,0.587,0.589,135570.3,67354.7
2025-10-01 23:00:00,0.589,0.592,0.588,0.592,127025.9,86762.4
2025-10-01 23:15:00,0.592,0.593,0.59,0.59,154930.5,77426.7
2025-10-01 23:30:00,0.591,0.591,0.589,0.591,133185.8,69075.7
2025-10-01 23:45:00,0.591,0.595,0.59,0.594,168581.1,85979.40000000001
2025-10-02 00:00:00,0.594,0.596,0.592,0.595,544479.6,221928.7
2025-10-02 00:15:00,0.595,0.596,0.593,0.595,198822.3,103718.8
2025-10-02 00:30:00,0.594,0.596,0.593,0.594,239725.6,147322.4
2025-10-02 00:45:00,0.594,0.597,0.593,0.597,208389.09999999998,115932.8
2025-10-02 01:00:00,0.597,0.597,0.593,0.595,272904.6,120862.90000000001
2025-10-02 01:15:00,0.595,0.596,0.593,0.594,197123.1,110196.5
2025-10-02 01:30:00,0.594,0.6,0.593,0.6,314687.4,246453.9
2025-10-02 01:45:00,0.6,0.601,0.597,0.6,500188.2,222311.4
2025-10-02 02:00:00,0.6,0.6,0.596,0.597,324507.8,110187.1
2025-10-02 02:15:00,0.598,0.598,0.594,0.596,157126.3,61785.2
2025-10-02 02:30:00,0.596,0.6,0.595,0.6,429855.8,325744.6
2025-10-02 02:45:00,0.6,0.6,0.597,0.598,177970.3,79219.8
2025-10-02 03:00:00,0.599,0.601,0.597,0.6,235198.0,117405.4
2025-10-02 03:15:00,0.599,0.6,0.597,0.6,128093.6,41049.2
2025-10-02 03:30:00,0.599,0.6,0.596,0.597,140518.5,50075.9
2025-10-02 03:45:00,0.597,0.598,0.595,0.597,149546.1,59143.1
2025-10-02 04:00:00,0.597,0.597,0.595,0.596,90937.1,26544.3
2025-10-02 04:15:00,0.596,0.597,0.595,0.596,87413.4,39976.3
2025-10-02 04:30:00,0.596,0.597,0.595,0.596,203775.69999999998,130808.7
2025-10-02 04:45:00,0.596,0.597,0.596,0.597,28633.699999999997,13319.5
2025-10-02 05:00:00,0.597,0.598,0.594,0.595,332990.9,56030.700000000004
2025-10-02 05:15:00,0.595,0.596,0.593,0.596,212135.5,115321.8
2025-10-02 05:30:00,0.596,0.597,0.594,0.594,484745.9,105435.2
2025-10-02 05:45:00,0.595,0.596,0.594,0.595,133767.8,73425.3
2025-10-02 06:00:00,0.595,0.599,0.593,0.599,332394.1,185382.9
2025-10-02 06:15:00,0.599,0.6,0.597,0.598,382592.2,179831.1
2025-10-02 06:30:00,0.597,0.599,0.595,0.596,306056.9,119518.0
2025-10-02 06:45:00,0.595,0.596,0.593,0.593,309923.4,80853.2
2025-10-02 07:00:00,0.593,0.596,0.593,0.594,180938.5,90813.7
2025-10-02 07:15:00,0.594,0.597,0.593,0.593,584221.7,200542.0
2025-10-02 07:30:00,0.594,0.595,0.593,0.594,174644.8,95114.1
2025-10-02 07:45:00,0.593,0.595,0.592,0.593,165739.5,91066.1
2025-10-02 08:00:00,0.593,0.594,0.591,0.591,142136.0,40917.0
2025-10-02 08:15:00,0.591,0.595,0.591,0.593,193635.6,120501.4
2025-10-02 08:30:00,0.593,0.594,0.592,0.592,205130.6,76522.3
2025-10-02 08:45:00,0.593,0.594,0.591,0.591,88435.4,11297.0
2025-10-02 09:00:00,0.591,0.593,0.59,0.593,201450.9,123913.79999999999
2025-10-02 09:15:00,0.592,0.596,0.592,0.595,180735.2,110811.3
2025-10-02 09:30:00,0.595,0.595,0.593,0.594,148823.3,103733.79999999999
2025-10-02 09:45:00,0.594,0.595,0.593,0.594,148906.3,54788.0
2025-10-02 10:00:00,0.593,0.594,0.592,0.593,67712.6,41197.4
2025-10-02 10:15:00,0.593,0.593,0.589,0.59,222899.5,38207.3
2025-10-02 10:30:00,0.59,0.592,0.589,0.591,193375.3,120591.5
2025-10-02 10:45:00,0.591,0.592,0.59,0.591,108851.5,42374.0
2025-10-02 11:00:00,0.59,0.591,0.589,0.59,282175.2,122727.7
2025-10-02 11:15:00,0.59,0.591,0.59,0.59,96986.4,38414.0
2025-10-02 11:30:00,0.59,0.592,0.59,0.59,310778.8,152580.6
2025-10-02 11:45:00,0.591,0.592,0.589,0.589,147350.0,75514.7
2025-10-02 12:00:00,0.589,0.591,0.588,0.59,115557.8,51901.0
2025-10-02 12:15:00,0.591,0.591,0.589,0.591,162341.7,74214.0
2025-10-02 12:30:00,0.59,0.591,0.589,0.59,104293.09999999999,34107.2
2025-10-02 12:45:00,0.589,0.591,0.589,0.59,198068.4,109990.3
2025-10-02 13:00:00,0.591,0.592,0.589,0.589,522728.8,236124.0
2025-10-02 13:15:00,0.589,0.591,0.584,0.59,579688.2,290442.0
2025-10-02 13:30:00,0.59,0.593,0.588,0.59,365705.0,201368.4
2025-10-02 13:45:00,0.59,0.593,0.589,0.591,253497.4,110627.2
2025-10-02 14:00:00,0.591,0.593,0.588,0.589,304354.2,136570.6
2025-10-02 14:15:00,0.589,0.591,0.588,0.59,237916.4,96073.8
2025-10-02 14:30:00,0.591,0.592,0.584,0.585,305791.1,98200.5
2025-10-02 14:45:00,0.585,0.589,0.583,0.583,1201621.3,717054.3
2025-10-02 15:00:00,0.584,0.586,0.58,0.585,596181.9,297747.1
2025-10-02 15:15:00,0.586,0.588,0.584,0.587,197035.7,115652.3
2025-10-02 15:30:00,0.587,0.588,0.583,0.586,715038.0,203566.5
2025-10-02 15:45:00,0.587,0.591,0.586,0.591,432551.1,288961.3
2025-10-02 16:00:00,0.591,0.596,0.589,0.595,393992.8,157991.7
2025-10-02 16:15:00,0.595,0.602,0.595,0.599,601842.8,394402.1
2025-10-02 16:30:00,0.599,0.601,0.595,0.597,521416.0,265894.9
2025-10-02 16:45:00,0.596,0.599,0.596,0.597,252160.3,135918.2
2025-10-02 17:00:00,0.597,0.598,0.595,0.597,489308.69999999995,124914.6
2025-10-02 17:15:00,0.597,0.598,0.594,0.596,126025.5,65533.3
2025-10-02 17:30:00,0.597,0.599,0.596,0.598,246123.9,186618.2
2025-10-02 17:45:00,0.598,0.599,0.597,0.598,134976.30000000002,76047.2
2025-10-02 18:00:00,0.597,0.602,0.597,0.601,259304.6,117414.90000000001
2025-10-02 18:15:00,0.6,0.603,0.6,0.603,364225.0,171479.7
2025-10-02 18:30:00,0.603,0.607,0.601,0.606,301850.3,184599.9
2025-10-02 18:45:00,0.606,0.608,0.601,0.606,669006.6,244833.69999999998
2025-10-02 19:00:00,0.605,0.61,0.605,0.61,664806.9,460501.6
2025-10-02 19:15:00,0.61,0.612,0.606,0.61,366151.3,197780.9
2025-10-02 19:30:00,0.61,0.612,0.609,0.612,288851.6,163111.80000000002
2025-10-02 19:45:00,0.611,0.614,0.611,0.612,369218.5,250999.2
2025-10-02 20:00:00,0.613,0.614,0.608,0.608,181610.7,66284.4
2025-10-02 20:15:00,0.608,0.609,0.605,0.606,147406.2,24838.399999999998
2025-10-02 20:30:00,0.605,0.606,0.601,0.603,368239.3,120222.3
2025-10-02 20:45:00,0.603,0.605,0.602,0.604,101051.3,49196.8
2025-10-02 21:00:00,0.604,0.606,0.603,0.606,124925.6,84407.7
2025-10-02 21:15:00,0.606,0.606,0.603,0.604,99839.3,48739.1
2025-10-02 21:30:00,0.604,0.605,0.601,0.601,217223.6,97680.3
2025-10-02 21:45:00,0.601,0.605,0.601,0.603,161473.09999999998,82797.1
2025-10-02 22:00:00,0.603,0.608,0.603,0.605,140014.3,81624.5
2025-10-02 22:15:00,0.606,0.606,0.603,0.605,134392.5,56687.1
2025-10-02 22:30:00,0.605,0.606,0.604,0.605,69325.3,28721.8
2025-10-02 22:45:00,0.605,0.607,0.604,0.605,48737.3,32297.9
