open_time,open,high,low,close,volume,taker_buy_vol
2025-10-01 00:00:00,0.687,0.69,0.687,0.688,66687.8,46653.200000000004
2025-10-01 00:15:00,0.688,0.688,0.682,0.682,27527.3,6999.799999999999
2025-10-01 00:30:00,0.682,0.684,0.681,0.682,36022.6,10434.8
2025-10-01 00:45:00,0.683,0.686,0.682,0.686,14399.6,12931.1
2025-10-01 01:00:00,0.686,0.688,0.685,0.687,17452.9,14443.9
2025-10-01 01:15:00,0.687,0.69,0.686,0.69,19128.3,10000.3
2025-10-01 01:30:00,0.69,0.692,0.688,0.692,27849.9,20470.7
2025-10-01 01:45:00,0.692,0.697,0.692,0.696,33255.7,24560.0
2025-10-01 02:00:00,0.697,0.698,0.695,0.695,42888.0,25353.399999999998
2025-10-01 02:15:00,0.695,0.698,0.695,0.698,14858.1,10181.9
2025-10-01 02:30:00,0.698,0.698,0.694,0.694,16665.3,5093.5
2025-10-01 02:45:00,0.694,0.696,0.693,0.694,21059.9,14012.4
2025-10-01 03:00:00,0.693,0.694,0.692,0.693,20674.6,8151.299999999999
2025-10-01 03:15:00,0.693,0.693,0.689,0.692,33206.6,10821.300000000001
2025-10-01 03:30:00,0.692,0.694,0.69,0.692,45081.9,28150.1
2025-10-01 03:45:00,0.69,0.69,0.687,0.687,73385.5,28403.1
2025-10-01 04:00:00,0.687,0.696,0.687,0.692,45552.0,27607.600000000002
2025-10-01 04:15:00,0.692,0.695,0.692,0.695,23692.600000000002,14733.0
2025-10-01 04:30:00,0.695,0.697,0.693,0.695,43773.0,29249.6
2025-10-01 04:45:00,0.695,0.696,0.692,0.693,16034.7,10311.5
2025-10-01 05:00:00,0.693,0.698,0.693,0.697,37743.8,13590.3
2025-10-01 05:15:00,0.696,0.698,0.695,0.696,14650.6,12683.0
2025-10-01 05:30:00,0.696,0.698,0.695,0.698,17057.1,7429.8
2025-10-01 05:45:00,0.697,0.697,0.695,0.695,6585.0,4263.7
2025-10-01 06:00:00,0.695,0.697,0.694,0.695,13095.6,3472.2999999999997
2025-10-01 06:15:00,0.695,0.698,0.693,0.695,11287.8,5021.7
2025-10-01 06:30:00,0.695,0.697,0.694,0.695,36682.899999999994,20698.1
2025-10-01 06:45:00,0.695,0.695,0.692,0.692,16345.5,4099.1
2025-10-01 07:00:00,0.693,0.695,0.691,0.694,13757.199999999999,4794.2
2025-10-01 07:15:00,0.695,0.697,0.694,0.696,18091.4,8005.300000000001
2025-10-01 07:30:00,0.696,0.698,0.695,0.697,6292.500000000001,2278.7000000000003
2025-10-01 07:45:00,0.697,0.697,0.695,0.696,7630.9,1246.3
2025-10-01 08:00:00,0.695,0.698,0.695,0.697,14695.199999999999,14075.5
2025-10-01 08:15:00,0.697,0.701,0.696,0.701,61985.5,33011.9
2025-10-01 08:30:00,0.702,0.716,0.702,0.716,163195.8,104101.1
2025-10-01 08:45:00,0.716,0.722,0.716,0.72,240435.3,124680.2
2025-10-01 09:00:00,0.721,0.725,0.721,0.723,144071.0,78669.3
2025-10-01 09:15:00,0.723,0.725,0.72,0.723,64649.7,14498.6
2025-10-01 09:30:00,0.723,0.727,0.721,0.726,39005.5,24516.7
2025-10-01 09:45:00,0.726,0.727,0.723,0.725,36989.4,13586.9
2025-10-01 10:00:00,0.725,0.725,0.717,0.718,41319.2,19899.6
2025-10-01 10:15:00,0.717,0.721,0.717,0.719,56831.1,22720.5
2025-10-01 10:30:00,0.719,0.719,0.715,0.716,44137.9,15942.7
2025-10-01 10:45:00,0.716,0.717,0.715,0.716,19006.5,7074.400000000001
2025-10-01 11:00:00,0.716,0.719,0.715,0.719,51163.4,37607.2
2025-10-01 11:15:00,0.719,0.719,0.717,0.717,10683.0,7087.000000000001
2025-10-01 11:30:00,0.717,0.718,0.715,0.717,66922.1,53745.9
2025-10-01 11:45:00,0.717,0.72,0.716,0.719,49337.4,31332.6
2025-10-01 12:00:00,0.718,0.72,0.717,0.718,21398.3,6544.5
2025-10-01 12:15:00,0.719,0.721,0.717,0.719,58155.7,29960.899999999998
2025-10-01 12:30:00,0.719,0.72,0.717,0.717,22385.9,8538.2
2025-10-01 12:45:00,0.717,0.718,0.713,0.713,17606.6,5073.4
2025-10-01 13:00:00,0.714,0.717,0.714,0.716,14783.0,7847.4
2025-10-01 13:15:00,0.717,0.719,0.716,0.717,8827.8,3040.6
2025-10-01 13:30:00,0.717,0.719,0.716,0.717,45521.8,11922.7
2025-10-01 13:45:00,0.717,0.72,0.715,0.719,81763.7,56244.700000000004
2025-10-01 14:00:00,0.719,0.721,0.718,0.719,53346.5,17825.4
2025-10-01 14:15:00,0.719,0.722,0.719,0.72,18416.4,13673.2
2025-10-01 14:30:00,0.721,0.724,0.718,0.723,46576.4,22604.199999999997
2025-10-01 14:45:00,0.723,0.723,0.718,0.72,38961.6,11153.2
2025-10-01 15:00:00,0.72,0.723,0.719,0.721,17893.5,13239.4
2025-10-01 15:15:00,0.721,0.724,0.721,0.723,26024.8,19576.5
2025-10-01 15:30:00,0.723,0.725,0.722,0.725,26769.600000000002,16392.8
2025-10-01 15:45:00,0.725,0.726,0.722,0.724,24342.6,11200.6
2025-10-01 16:00:00,0.725,0.725,0.722,0.724,18531.1,9676.2
2025-10-01 16:15:00,0.724,0.726,0.724,0.726,25152.2,11335.8
2025-10-01 16:30:00,0.726,0.727,0.723,0.726,28086.600000000002,20630.5
2025-10-01 16:45:00,0.726,0.727,0.72,0.722,26614.5,10143.0
2025-10-01 17:00:00,0.722,0.725,0.721,0.722,16419.8,8501.5
2025-10-01 17:15:00,0.722,0.725,0.722,0.723,22916.4,12050.2
2025-10-01 17:30:00,0.723,0.725,0.723,0.724,21533.2,16839.3
2025-10-01 17:45:00,0.723,0.725,0.72,0.722,34044.0,15138.1
2025-10-01 18:00:00,0.722,0.727,0.722,0.727,28630.1,20483.1
2025-10-01 18:15:00,0.726,0.732,0.726,0.732,74164.8,17547.2
2025-10-01 18:30:00,0.731,0.736,0.731,0.732,151713.30000000002,88577.2
2025-10-01 18:45:00,0.732,0.734,0.731,0.733,25182.7,10887.3
2025-10-01 19:00:00,0.733,0.734,0.73,0.733,118244.8,95243.2
2025-10-01 19:15:00,0.733,0.737,0.733,0.734,23156.8,15598.7
2025-10-01 19:30:00,0.734,0.734,0.731,0.731,26618.8,16452.4
2025-10-01 19:45:00,0.732,0.735,0.731,0.732,28658.0,14117.5
2025-10-01 20:00:00,0.732,0.733,0.729,0.729,24420.899999999998,4998.0
2025-10-01 20:15:00,0.73,0.731,0.728,0.73,40193.7,12531.3
2025-10-01 20:30:00,0.73,0.73,0.727,0.729,24524.2,11938.300000000001
2025-10-01 20:45:00,0.728,0.73,0.728,0.729,20166.5,16767.2
2025-10-01 21:00:00,0.728,0.729,0.726,0.728,36947.6,25156.7
2025-10-01 21:15:00,0.728,0.729,0.726,0.727,9428.0,6920.8
2025-10-01 21:30:00,0.727,0.727,0.725,0.726,8617.0,1068.5
2025-10-01 21:45:00,0.726,0.728,0.725,0.727,4839.3,2949.1000000000004
2025-10-01 22:00:00,0.726,0.73,0.726,0.729,15706.2,7724.3
2025-10-01 22:15:00,0.729,0.729,0.727,0.728,13593.8,5715.8
2025-10-01 22:30:00,0.728,0.728,0.725,0.726,11102.9,2262.3
2025-10-01 22:45:00,0.726,0.729,0.726,0.726,17429.399999999998,5771.3
2025-10-01 23:00:00,0.726,0.727,0.725,0.726,16942.2,4471.7
2025-10-01 23:15:00,0.726,0.728,0.725,0.726,30137.399999999994,5261.9
2025-10-01 23:30:00,0.726,0.73,0.726,0.729,45333.200000000004,30150.9
2025-10-01 23:45:00,0.728,0.73,0.728,0.729,41588.4,18305.399999999998
2025-10-02 00:00:00,0.729,0.732,0.729,0.73,53372.1,33202.6
2025-10-02 00:15:00,0.731,0.731,0.727,0.728,112314.9,46913.1
2025-10-02 00:30:00,0.727,0.729,0.726,0.726,39975.8,11509.9
2025-10-02 00:45:00,0.726,0.727,0.725,0.726,33148.0,16112.8
2025-10-02 01:00:00,0.726,0.728,0.726,0.728,36287.5,32578.1
2025-10-02 01:15:00,0.728,0.731,0.727,0.73,24084.7,18569.6
2025-10-02 01:30:00,0.73,0.735,0.73,0.735,37581.1,35033.5
2025-10-02 01:45:00,0.735,0.737,0.734,0.737,48947.0,28355.8
2025-10-02 02:00:00,0.737,0.737,0.732,0.734,79847.6,42589.5
2025-10-02 02:15:00,0.734,0.734,0.731,0.732,15754.8,5090.2
2025-10-02 02:30:00,0.732,0.736,0.732,0.736,20094.2,17966.9
2025-10-02 02:45:00,0.735,0.737,0.733,0.734,21058.2,7667.799999999999
2025-10-02 03:00:00,0.734,0.737,0.733,0.736,15317.4,10044.7
2025-10-02 03:15:00,0.736,0.737,0.734,0.735,43388.0,33359.9
2025-10-02 03:30:00,0.735,0.736,0.734,0.734,21039.4,2679.6
2025-10-02 03:45:00,0.735,0.735,0.733,0.735,37091.6,11545.4
2025-10-02 04:00:00,0.735,0.737,0.734,0.737,18982.199999999997,8924.7
2025-10-02 04:15:00,0.736,0.736,0.733,0.734,21034.5,7078.900000000001
2025-10-02 04:30:00,0.733,0.735,0.732,0.733,40295.7,13792.800000000001
2025-10-02 04:45:00,0.733,0.736,0.733,0.735,12657.4,9062.2
2025-10-02 05:00:00,0.735,0.737,0.735,0.736,10272.9,8873.3
2025-10-02 05:15:00,0.737,0.739,0.735,0.739,65864.8,50028.8
2025-10-02 05:30:00,0.738,0.738,0.736,0.737,14504.5,6761.6
2025-10-02 05:45:00,0.737,0.738,0.735,0.736,32370.0,25112.7
2025-10-02 06:00:00,0.736,0.736,0.735,0.736,23832.9,6976.4
2025-10-02 06:15:00,0.736,0.738,0.735,0.738,45320.9,39302.9
2025-10-02 06:30:00,0.738,0.741,0.738,0.739,40850.3,24378.4
2025-10-02 06:45:00,0.739,0.739,0.736,0.737,9897.1,3251.8
2025-10-02 07:00:00,0.737,0.737,0.736,0.736,12471.5,5637.6
2025-10-02 07:15:00,0.736,0.737,0.734,0.735,5268.3,2324.8
2025-10-02 07:30:00,0.735,0.735,0.732,0.734,46455.0,6084.1
2025-10-02 07:45:00,0.733,0.733,0.731,0.731,19761.1,3622.0
2025-10-02 08:00:00,0.731,0.735,0.731,0.732,22130.8,13208.4
2025-10-02 08:15:00,0.732,0.735,0.731,0.734,8452.8,5152.9
2025-10-02 08:30:00,0.734,0.735,0.733,0.733,12994.2,10046.4
2025-10-02 08:45:00,0.733,0.734,0.732,0.733,3069.3,807.0
2025-10-02 09:00:00,0.732,0.732,0.73,0.732,13904.7,6975.4
2025-10-02 09:15:00,0.731,0.734,0.731,0.734,10016.4,4941.5
2025-10-02 09:30:00,0.733,0.734,0.732,0.732,16959.7,647.9
2025-10-02 09:45:00,0.733,0.733,0.732,0.733,5915.9,2495.9
2025-10-02 10:00:00,0.733,0.734,0.731,0.734,13544.3,5952.8
2025-10-02 10:15:00,0.734,0.735,0.731,0.731,7721.900000000001,6325.8
2025-10-02 10:30:00,0.731,0.736,0.731,0.735,33657.2,20009.3
2025-10-02 10:45:00,0.735,0.736,0.734,0.735,26586.8,20932.1
2025-10-02 11:00:00,0.735,0.735,0.731,0.733,42851.5,26652.699999999997
2025-10-02 11:15:00,0.733,0.735,0.733,0.733,18661.7,5497.6
2025-10-02 11:30:00,0.734,0.737,0.733,0.735,36840.799999999996,22327.199999999997
2025-10-02 11:45:00,0.735,0.738,0.732,0.733,129772.0,13450.7
2025-10-02 12:00:00,0.732,0.735,0.732,0.735,34906.2,22250.5
2025-10-02 12:15:00,0.735,0.736,0.734,0.735,24237.8,2599.2
2025-10-02 12:30:00,0.735,0.736,0.733,0.734,16984.0,2616.2
2025-10-02 12:45:00,0.733,0.735,0.73,0.734,77211.7,62324.7
2025-10-02 13:00:00,0.733,0.734,0.73,0.731,36042.8,7556.1
2025-10-02 13:15:00,0.731,0.731,0.726,0.728,45268.7,28390.4
2025-10-02 13:30:00,0.728,0.73,0.726,0.727,61242.7,34313.799999999996
2025-10-02 13:45:00,0.728,0.731,0.728,0.729,19934.9,13197.5
2025-10-02 14:00:00,0.729,0.729,0.725,0.726,69263.40000000001,5607.7
2025-10-02 14:15:00,0.727,0.729,0.725,0.728,36862.8,14176.4
2025-10-02 14:30:00,0.729,0.729,0.72,0.721,50781.2,12726.1
2025-10-02 14:45:00,0.72,0.723,0.716,0.72,72181.0,30469.4
2025-10-02 15:00:00,0.72,0.724,0.716,0.722,75687.5,39106.6
2025-10-02 15:15:00,0.723,0.727,0.722,0.726,33923.4,18233.4
2025-10-02 15:30:00,0.725,0.725,0.721,0.724,28683.9,13044.199999999999
2025-10-02 15:45:00,0.724,0.729,0.724,0.728,36094.5,13981.2
2025-10-02 16:00:00,0.729,0.736,0.728,0.735,84750.5,37523.4
2025-10-02 16:15:00,0.735,0.736,0.732,0.732,36272.9,18030.5
2025-10-02 16:30:00,0.732,0.734,0.727,0.729,21645.9,8757.7
2025-10-02 16:45:00,0.729,0.733,0.728,0.731,40581.3,17903.6
2025-10-02 17:00:00,0.731,0.732,0.729,0.732,19117.5,11989.2
2025-10-02 17:15:00,0.732,0.734,0.73,0.734,17614.4,4778.0
2025-10-02 17:30:00,0.734,0.738,0.733,0.737,22746.4,16682.300000000003
2025-10-02 17:45:00,0.738,0.739,0.736,0.738,84880.3,25826.5
2025-10-02 18:00:00,0.739,0.743,0.738,0.742,48983.6,31950.8
